year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.5,0.5,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.1,0.6,0.3
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,0.5,0.5,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,1.0,0.0
1971,0.0,0.0,0.0
1972,0.0,1.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.5,0.5,0.0
1976,1.0,0.0,0.0
1977,0.2,0.8,0.0
1978,0.0,0.0,0.0
1979,0.0,0.6666666666666666,0.3333333333333333
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,1.0,0.0
1985,0.0,1.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.0,0.0,0.0
1989,0.0,0.0,0.0
1990,0.0,0.0,0.0
1991,0.0,0.0,0.0
1992,0.0,0.0,0.0
1993,0.0,0.0,0.0
1994,0.0,0.0,0.0
1995,1.0,0.0,0.0
1996,0.5,0.5,0.0
1997,0.0,0.0,0.0
1998,0.0,1.0,0.0
1999,0.0,0.0,0.0
2000,0.0,0.5,0.5
2001,0.0,1.0,0.0
2002,0.1875,0.6875,0.125
2003,0.0,0.5,0.5
2004,0.0,0.0,0.0
2005,0.0,1.0,0.0
2006,0.1,0.7,0.2
2007,0.0,0.0,0.0
2008,0.5,0.5,0.0
2009,0.0,0.6666666666666666,0.3333333333333333
2010,0.07142857142857142,0.8571428571428571,0.07142857142857142
2011,0.18181818181818182,0.7272727272727273,0.09090909090909091
2012,0.10810810810810811,0.5675675675675675,0.32432432432432434
2013,0.0,0.8,0.2
2014,0.1111111111111111,0.7962962962962963,0.09259259259259259
2015,0.0,1.0,0.0
2016,0.125,0.625,0.25
2017,0.0,1.0,0.0
